Word,Meaning,"Sentence","SentencePinyin","SentenceTranslation"
大,Big,"這房子很大。","Zhè fángzi hěn dà.","This house is big."
能,Can,"我能幫忙。","Wǒ néng bāngmáng.","I can help."
著,Indicates ongoing action,"他看著書。","Tā kànzhe shū.","He is reading a book."
她,She,"她是我妹妹。","Tā shì wǒ mèimei.","She is my sister."
那,That,"那是什麼？","Nà shì shénme?","What is that?"
上,Up/On,"書在桌子上。","Shū zài zhuōzi shàng.","The book is on the table."
但,But,"我餓，但我沒錢。","Wǒ è, dàn wǒ méi qián.","I am hungry, but I have no money."
年,Year,"今年是2023年。","Jīnnián shì 2023 nián.","This year is 2023."
還,Still/Yet,"我還沒有吃。","Wǒ hái méiyǒu chī.","I haven’t eaten yet."
可以,Can,"你可以來嗎？","Nǐ kěyǐ lái ma?","Can you come?"
最,Most,"這是最好的。","Zhè shì zuì hǎo de.","This is the best."
自己,Myself/Yourself,"我自己做的。","Wǒ zìjǐ zuò de.","I did it myself."
為,For,"這禮物是為你的。","Zhè lǐwù shì wèi nǐ de.","This gift is for you."
來,Come,"他來了。","Tā lái le.","He came."
所,So/Thus,"所以我選擇離開。","Suǒyǐ wǒ xuǎnzé líkāi.","So I chose to leave."
他們,They,"他們都是學生。","Tāmen dōu shì xuéshēng.","They are all students."
兩,Two,"我有兩本書。","Wǒ yǒu liǎng běn shū.","I have two books."
各,Each,"各自為政。","Gèzì wéi zhèng.","Each to their own."
可,Can,"這可是真的。","Zhè kě shì zhēn de.","This is really true."
或,Or,"是或否？","Shì huò fǒu?","Yes or no?"
好,Good,"這味道真好。","Zhè wèidào zhēn hǎo.","This tastes really good."
等,Wait,"請你等一下。","Qǐng nǐ děng yīxià.","Please wait a moment."
又,Again,"他又來了。","Tā yòu lái le.","He came again."
將,will/be going to,"明天我將去學校","Míngtiān wǒ jiāng qù xuéxiào"," Tomorrow, I will go to school."
因為,because,"因為下雨，所以我沒有出門","Yīnwèi xiàyǔ, suǒyǐ wǒ méiyǒu chūmén"," Because it was raining, I didn’t go out."
於,in/at,"他於2000年來到台灣","Tā yú 2000 nián láidào Táiwān"," He came to Taiwan in 2000."
由,by/from,"這書是由她寫的","Zhè shū shì yóu tā xiě de"," This book is written by her."
從,from/since,"我從小就住在這裡","Wǒ cóng xiǎo jiù zhù zài zhèlǐ"," I have lived here since I was little."
更,even more,"這次的考試比上次更難","Zhè cì de kǎoshì bǐ shàng cì gèng nán"," This exam is even harder than the last one."
被,by (passive marker),"書被他借走了","Shū bèi tā jiè zǒu le"," The book was borrowed by him."
才,only then,"我十點才到家","Wǒ shí diǎn cái dàojiā"," I only got home at 10 o'clock."
已,already,"我已經吃過飯了","Wǒ yǐjīng chīguò fàn le"," I have already eaten."
者,one who...,"作家者為寫書的人","Zuòjiā zhě wèi xiě shū de rén"," A writer is one who writes books."
每,every,"我每天都運動","Wǒ měi tiān dōu yùndòng"," I exercise every day."
次,time (occurrence),"我看了三次電影","Wǒ kànle sān cì diànyǐng"," I watched the movie three times."
把,handle/marker for object,"我把鑰匙忘在家了","Wǒ bǎ yàoshi wàng zài jiā le"," I forgot the keys at home."
三,three,"我有三本書","Wǒ yǒu sān běn shū"," I have three books."
什麼,what,"你要什麼飲料？","Nǐ yào shénme yǐnliào?"," What drink do you want?"
問題,question/problem,"你有任何問題嗎？","Nǐ yǒu rènhé wèntí ma?"," Do you have any questions?"
其,its/their,"其目的是什麼？","Qí mùdì shì shénme?"," What is its purpose?"
讓,let/allow,"讓我看看","Ràng wǒ kàn kàn"," Let me see."
此,this,"此事不可忽視","Cǐ shì bùkě hūshì"," This matter cannot be ignored."
做,do/make,"我想做一個蛋糕","Wǒ xiǎng zuò yīgè dàngāo"," I want to make a cake."
再,again,"再見！","Zài jiàn!"," Goodbye!"
所以,so/thus,"他累了，所以他早點睡了","Tā lèi le, suǒyǐ tā zǎodiǎn shuì le"," He was tired, so he went to sleep early."
只,only,"我只有一個蘋果","Wǒ zhǐyǒu yīgè píngguǒ"," I only have one apple."
則,then/on the other hand,"他忙，則我閒","Tā máng, zé wǒ xián"," He is busy, whereas I am free."
台灣,Taiwan,"我住在台灣","Wǒ zhù zài Táiwān"," I live in Taiwan."
卻,however/yet,"他很累，卻還在工作","Tā hěn lèi, què hái zài gōngzuò"," He is very tired, yet he is still working."
並,and/also,"我並不知道這件事","Wǒ bìng bù zhīdào zhè jiàn shì"," I don't know about this matter."
位,measure word for people,"請問是哪一位？","Qǐngwèn shì nǎ yī wèi?"," May I ask who is calling?"
想,think/want to,"我想吃冰淇淋","Wǒ xiǎng chī bīngqílín"," I want to eat ice cream."
去,go,"我去學校","Wǒ qù xuéxiào"," I go to school."
呢,question particle,"你的書在哪裡呢？","Nǐ de shū zài nǎlǐ ne?"," Where is your book?"
學生,student,"我是一名學生","Wǒ shì yī míng xuéshēng"," I am a student."
表示,express/indicate,"他表示同意","Tā biǎoshì tóngyì"," He expressed agreement."
到,arrive/reach,"我到家了","Wǒ dàojiā le"," I have arrived home."
公司,company,"我在一家公司工作","Wǒ zài yī jiā gōngsī gōngzuò"," I work at a company."
如果,if,"如果你來，我會很開心","Rúguǒ nǐ lái, wǒ huì hěn kāixīn"," I would be happy if you come."
社會,society,"社會正在快速變化","Shèhuì zhèngzài kuàisù biànhuà"," Society is changing rapidly."
看,look/see,"我看電視","Wǒ kàn diànshì"," I watch TV."
小,small,"這只狗很小","Zhè zhī gǒu hěn xiǎo"," This dog is very small."
天,day/sky,"今天很晴朗","Jīntiān hěn qínglǎng"," Today is very sunny."
因此,therefore,"他沒有錢，因此他沒有買","Tā méiyǒu qián, yīncǐ tā méiyǒu mǎi"," He didn't have money, therefore he didn't buy it."
新,new,"這是我的新衣服","Zhè shì wǒ de xīn yīfú"," This is my new dress."
但是,but,"我想去，但是我太忙了","Wǒ xiǎng qù, dànshì wǒ tài máng le"," I want to go, but I am too busy."
它,it,"它是我的貓","Tā shì wǒ de māo"," It is my cat."
中,in/middle,"書在桌子中間","Shū zài zhuōzi zhōngjiān"," The book is in the middle of the table."
使,make/use,"這可以使你快樂","Zhè kěyǐ shǐ nǐ kuàilè"," This can make you happy."
工作,work/job,"我愛我的工作","Wǒ ài wǒ de gōngzuò"," I love my job."
全,all/entire,"全世界都知道","Quán shìjiè dōu zhīdào"," The whole world knows."
覺得,feel/think,"我覺得很冷","Wǒ juéde hěn lěng"," I feel cold."
使用, Use," 他在辦公室使用電腦。"," Tā zài bàngōngshì shǐyòng diànnǎo."," He uses a computer in the office."
這些, These," 這些是我的書。"," Zhèxiē shì wǒ de shū."," These are my books."
裡, Inside," 瓶子裡有水。"," Píngzi lǐ yǒu shuǐ."," There is water inside the bottle."
由於, Due to," 由於雨天，活動被取消了。"," Yóuyú yǔtiān, huódòng bèi qǔxiāo le."," The event was cancelled due to the rainy weather."
時候, Time/moment," 你什麼時候有空？"," Nǐ shénme shíhòu yǒu kòng?"," When are you free?"
知道, Know," 我知道答案。"," Wǒ zhīdào dá'àn."," I know the answer."
這樣, Like this," 你不應該這樣做。"," Nǐ bù yīnggāi zhèyàng zuò."," You shouldn't do it like this."
認為, Think/believe," 我認為他是對的。"," Wǒ rènwéi tā shì duì de."," I think/believe he is right."
時間, Time," 我沒有時間。"," Wǒ méiyǒu shíjiān."," I don't have time."
事, Thing/matter," 這事我知道。"," Zhè shì wǒ zhīdào."," I know about this matter."
過, Pass/experience," 我過去住在台北。"," Wǒ guòqù zhù zài Táiběi."," I used to live in Taipei."
向, Towards," 他向我走來。"," Tā xiàng wǒ zǒulái."," He walked towards me."
可能, Maybe/possible," 他可能明天來。"," Tā kěnéng míngtiān lái."," He might come tomorrow."
中國, China," 我愛中國。","Tā láizì Zhōngguó."," She is from China."
美國, USA," 她來自美國。"," Tā láizì Měiguó."," She is from the USA."
幾, How many," 你有幾本書？"," Nǐ yǒu jǐ běn shū?"," How many books do you have?"
系統, System," 這是新的計算機系統。"," Zhè shì xīn de jìsuànjī xìtǒng."," This is a new computer system."
政府, Government," 政府制定了新政策。"," Zhèngfǔ zhìdìng le xīn zhèngcè."," The government formulated a new policy."
大家, Everyone," 大家都喜歡他。"," Dàjiā dōu xǐhuān tā."," Everyone likes him."
國家, Country," 台灣是我的國家。"," Táiwān shì wǒ de guójiā."," Taiwan is my country."
許多, Many," 許多人來參加。"," Xǔduō rén lái cānjiā."," Many people came to participate."
生活, Life," 我的生活很快樂。"," Wǒ de shēnghuó hěn kuàilè."," My life is very happy."
跟, With," 我跟他是好朋友。"," Wǒ gēn tā shì hǎo péngyǒu."," I am good friends with him."
已經, Already," 我已經吃過飯了。"," Wǒ yǐjīng chīguò fàn le."," I have already eaten."
大學, University," 他在大學學習。"," Tā zài dàxué xuéxí."," He studies at the university."
研究, Research," 她正在研究新的技術。"," Tā zhèngzài yánjiū xīn de jìshù."," She is researching new technologies."
因, Because," 因為下雨，我們不能出去。"," Yīnwèi xià yǔ, wǒmen bùnéng chūqù."," Because it's raining, we can't go out."
本, This (for books)," 這本書很有趣。"," Zhè běn shū hěn yǒuqù."," This book is very interesting."
二, Two," 這裡有二個蘋果。"," Zhè lǐ yǒu èr gè píngguǒ."," There are two apples here."
活動, Activity," 學校有很多活動。"," Xuéxiào yǒu hěnduō huódòng."," The school has many activities."
該, Should," 你該去看醫生。"," Nǐ gāi qù kàn yīshēng."," You should see a doctor."
世界, World," 這是世界上最大的城市。"," Zhè shì shìjiè shàng zuìdà de chéngshì."," This is the largest city in the world."
應, Should," 我們應該幫助他。"," Wǒmen yīnggāi bāngzhù tā."," We should help him."
四, Four," 這裡有四張票。"," Zhè lǐ yǒu sì zhāng piào."," There are four tickets here."
希望, Hope," 我希望你能來。"," Wǒ xīwàng nǐ néng lái."," I hope you can come."
方式, Way/method," 這是解決問題的方式。"," Zhè shì jiějué wèntí de fāngshì."," This is the way to solve the problem."
內, Inside," 袋子內有三本書。"," Dàizi nèi yǒu sān běn shū."," There are three books inside the bag."
項, Item," 這是清單上的最後一項。"," Zhè shì qīngdān shàng de zuìhòu yī xiàng."," This is the last item on the list."
啊, Ah/exclamation," 你來了啊！"," Nǐ lái le a!"," You've come, ah!"
下, Below/next," 請看下一頁。"," Qǐng kàn xià yī yè."," Please look at the next page."
環境, Environment," 我們應該保護環境。"," Wǒmen yīnggāi bǎohù huánjìng."," We should protect the environment."
一些, Some," 我買了一些蘋果。"," Wǒ mǎi le yīxiē píngguǒ."," I bought some apples."
必須, Must," 你必須完成這個任務。"," Nǐ bìxū wánchéng zhège rènwù."," You must complete this task."
文化, Culture," 台灣有豐富的文化。"," Táiwān yǒu fēngfù de wénhuà."," Taiwan has a rich culture."
高, Tall/high," 這棵樹很高。"," Zhè kē shù hěn gāo."," This tree is very tall."
孩子, Child," 孩子在公園裡玩。"," Háizi zài gōngyuán lǐ wán."," The child is playing in the park."
沒有,Without,"我沒有錢。","Wǒ méiyǒu qián.","I don't have money."
不能,Cannot,"你不能進來。","Nǐ bùnéng jìnlái.","You cannot come in."
如,As,"如有問題，請告訴我。","Rú yǒu wèntí, qǐng gàosu wǒ.","If there are any questions, please let me know."
開始,Begin,"他開始學中文。","Tā kāishǐ xué zhōngwén.","He began to learn Chinese."
元,Yuan (Currency),"這本書五元。","Zhè běn shū wǔ yuán.","This book is five yuan."
不同,Different,"他們的觀點不同。","Tāmen de guāndiǎn bùtóng.","Their perspectives are different."
仍,Still,"他仍在工作。","Tā réng zài gōngzuò.","He is still working."
網路,Internet,"我需要網路連接。","Wǒ xūyào wǎnglù liánjiē.","I need an internet connection."
日本,Japan,"我去過日本。","Wǒ qùguò rìběn.","I've been to Japan."
用,Use,"用筷子吃飯。","Yòng kuàizi chīfàn.","Eat with chopsticks."
中心,Center,"這是購物中心。","Zhè shì gòuwù zhōngxīn.","This is a shopping center."
雖然,Although,"雖然冷，但我喜歡。","Suīrán lěng, dàn wǒ xǐhuān.","Although it's cold, I like it."
重要,Important,"健康很重要。","Jiànkāng hěn zhòngyào.","Health is very important."
地方,Place,"這是我的最愛的地方。","Zhè shì wǒ de zuì ài de dìfāng.","This is my favorite place."
進行,Conduct,"我們進行會議。","Wǒmen jìnxíng huìyì.","We are conducting a meeting."
關係,Relationship,"我們的關係很好。","Wǒmen de guānxì hěn hǎo.","Our relationship is good."
市場,Market,"我喜歡逛市場。","Wǒ xǐhuān guàng shìchǎng.","I like to stroll around the market."
太,Too,"這裡太吵了。","Zhèlǐ tài chǎo le.","It's too noisy here."
老師,Teacher,"她是我的老師。","Tā shì wǒ de lǎoshī.","She is my teacher."
提供,Provide,"他提供了幫助。","Tā tígōng le bāngzhù.","He provided help."
學校,School,"學校在那裡?","Xuéxiào zài nàlǐ?","Where is the school?"
應該,Should,"你應該休息。","Nǐ yīnggāi xiūxí.","You should rest."
指出,Point out,"他指出了我的錯誤。","Tā zhǐchū le wǒ de cuòwù.","He pointed out my mistake."
經濟,Economy,"經濟正在成長。","Jīngjì zhèngzài chéngzhǎng.","The economy is growing."
其他,Other,"我不知道其他的。","Wǒ bù zhīdào qítā de.","I don't know the others."
家,Home/Family,"我想回家。","Wǒ xiǎng huí jiā.","I want to go home."
發展,Develop,"技術正在發展。","Jìshù zhèngzài fāzhǎn.","Technology is developing."
教育,Education,"教育是重要的。","Jiàoyù shì zhòngyào de.","Education is important."
成為,Become,"他成為了老師。","Tā chéngwéi le lǎoshī.","He became a teacher."
多,Many,"這裡有很多書。","Zhèlǐ yǒu hěn duō shū.","There are many books here."
非常,Very,"我非常喜歡。","Wǒ fēicháng xǐhuān.","I like it very much."
便,Convenient,"這很便宜。","Zhè hěn piányí.","This is very cheap."
方面,Aspect,"在這個方面，我們需要努力。","Zài zhège fāngmiàn, wǒmen xūyào nǔlì.","In this aspect, we need to work hard."
很多,Many,"我有很多朋友。","Wǒ yǒu hěn duō péngyǒu.","I have many friends."
吃,Eat,"我想吃蘋果。","Wǒ xiǎng chī píngguǒ.","I want to eat an apple."
然後,Then,"我先工作，然後玩。","Wǒ xiān gōngzuò, ránhòu wán.","I work first, then play."
未,Not yet,"我還未完成。","Wǒ hái wèi wánchéng.","I haven't finished yet."
發現,Discover,"我發現了一本好書。","Wǒ fāxiàn le yī běn hǎo shū.","I discovered a good book."
電腦,Computer,"我的電腦壞了。","Wǒ de diànnǎo huài le.","My computer is broken."
一樣,The same,"我們的衣服一樣。","Wǒmen de yīfú yīyàng.","Our clothes are the same."
而且,Moreover,"他聰明而且勤奮。","Tā cōngmíng érqiě qínfèn.","He is smart and diligent."
心,Heart,"我的心很疼。","Wǒ de xīn hěn téng.","My heart hurts."
不過,However,"不過我不擔心。","Bùguò wǒ bù dānxīn.","However, I'm not worried."
無法,Unable,"我無法理解。","Wǒ wúfǎ lǐjiě.","I can't understand."
企業,Enterprise,"他在一家大企業工作。","Tā zài yī jiā dà qǐyè gōngzuò.","He works in a big enterprise."
正,Right/Proper,"你正確。","Nǐ zhèngquè.","You are right."
服務,Service,"他們提供好的服務。","Tāmen tígōng hǎo de fúwù.","They provide good service."
較,Compare/Relatively,"這部電影較好。","Zhè bù diànyǐng jiào hǎo.","This movie is relatively good."
不會,Will not,"我不會放棄。","Wǒ bù huì fàngqì.","I will not give up."
臺灣,Taiwan,"我愛臺灣。","Wǒ ài táiwān.","I love Taiwan."
曾,Once,"我曾去過那裡。","Wǒ céng qùguò nàlǐ.","I have been there once."
嗎,Question particle,"你好嗎?","Nǐ hǎo ma?","How are you?"
空間,Space,"我需要更多空間。","Wǒ xūyào gèng duō kōngjiān.","I need more space."
看到,See,"我看到了彩虹。","Wǒ kàn dào le cǎihóng.","I saw a rainbow."
五,Five,"這裡有五本書。","Zhèlǐ yǒu wǔ běn shū.","There are five books here."
如何,How,"你知道如何做嗎?","Nǐ zhīdào rúhé zuò ma?","Do you know how to do it?"
國內,Domestic,"我只旅行國內。","Wǒ zhǐ lǚxíng guónèi.","I only travel domestically."
無,None/Without,"無人知道真相。","Wú rén zhīdào zhēnxiàng.","No one knows the truth."
對於,Regarding,"對於這件事，我沒意見。","Duìyú zhè jiàn shì, wǒ méi yìjiàn.","I have no opinion regarding this matter."
以及,And,"我喜歡蘋果以及香蕉。","Wǒ xǐhuān píngguǒ yǐjí xiāngjiāo.","I like apples and bananas."
之後,After,"我之後會告訴你。","Wǒ zhīhòu huì gàosu nǐ.","I will tell you after."
可是,But,"我想去，可是我沒時間。","Wǒ xiǎng qù, kěshì wǒ méi shíjiān.","I want to go, but I don't have time."
當,When/As,"當你來，我會在家。","Dāng nǐ lái, wǒ huì zài jiā.","When you come, I will be at home."
人員,Personnel,"我們需要更多人員。","Wǒmen xūyào gèng duō rényuán.","We need more personnel."
比,Compare,"我的車比你的快。","Wǒ de chē bǐ nǐ de kuài.","My car is faster than yours."
先,First,"我先吃飯。","Wǒ xiān chīfàn.","I eat first."
產品,Product,"這是我們的新產品。","Zhè shì wǒmen de xīn chǎnpǐn.","This is our new product."
資訊,Information,"我需要更多資訊。","Wǒ xūyào gèng duō zīxùn.","I need more information."
資料,Data,"這是重要的資料。","Zhè shì zhòngyào de zīliào.","This is important data."
比較,Compare/Relatively,"他比較喜歡這個。","Tā bǐjiào xǐhuān zhège.","He prefers this one."
先生,Mr./Husband,"王先生是我的鄰居。","Wáng xiānshēng shì wǒ de línjū.","Mr. Wang is my neighbor."
地,Ground/Place,"這是一片美麗的土地。","Zhè shì yī piàn měilì de tǔdì.","This is a beautiful piece of land."
除了,Besides,"除了這本，我還要那本。","Chúle zhè běn, wǒ hái yào nà běn.","Besides this one, I also want that one."
大陸,Mainland,"他從大陸來。","Tā cóng dàlù lái.","He came from the mainland."
需要,Need,"我需要幫助。","Wǒ xūyào bāngzhù.","I need help."
像,Like/Resemble,"他像他的父親。","Tā xiàng tā de fùqīn.","He looks like his father."
給,Give,"請給我那本書。","Qǐng gěi wǒ nà běn shū.","Please give me that book."
歲,Age/Years old,"我是二十歲。","Wǒ shì èrshí suì.","I am twenty years old."
請,Please,"請進。","Qǐng jìn.","Please come in."
月,Month,"十月是我的生日月。","Shí yuè shì wǒ de shēngrì yuè.","October is my birth month."
些,Some,"這裡有些餅乾。","Zhèlǐ yǒu xiē bǐnggān.","There are some cookies here."
名,Name,"他的名字叫做李明。","Tā de míngzì jiàozuò lǐ míng.","His name is Li Ming."
另,Another,"這是另一種選擇。","Zhè shì lìng yī zhǒng xuǎnzé.","This is another choice."
若,If,"若你想去，告訴我。","Ruò nǐ xiǎng qù, gàosu wǒ.","If you want to go, tell me."
亦,Also,"他亦是老師。","Tā yì shì lǎoshī.","He is also a teacher."
地區,Region/Area,"這個地區很安靜。","Zhège dìqū hěn ānjìng.","This area is very quiet."
技術,Technique/Technology,"他擅長這技術。","Tā shàncháng zhè jìshù.","He is skilled in this technique."
至,To,"我從北京至上海。","Wǒ cóng běijīng zhì shànghǎi.","I'm going from Beijing to Shanghai."
特別,Especially/Special,"這是一個特別的日子。","Zhè shì yīgè tèbié de rìzi.","This is a special day."
其實,Actually,"其實我不餓。","Qíshí wǒ bù è.","Actually, I'm not hungry."
國際,International,"這是一家國際公司。","Zhè shì yī jiā guójì gōngsī.","This is an international company."
不要,Don't want,"不要擔心。","Bùyào dānxīn.","Don't worry."
發生,Happen,"事故發生在昨天。","Shìgù fāshēng zài zuótiān.","The accident happened yesterday."
參加,Join/Participate,"我想參加那個活動。","Wǒ xiǎng cānjiā nàgè huódòng.","I want to join that event."
一定,Certainly/Definitely,"你一定會喜歡的。","Nǐ yīdìng huì xǐhuān de.","You will certainly like it."
其中,Among/In it,"其中一本是我的。","Qízhōng yī běn shì wǒ de.","One of them is mine."
問,Ask,"你想問我什麼？","Nǐ xiǎng wèn wǒ shénme?","What do you want to ask me?"
台北,Taipei,"我住在台北。","Wǒ zhù zài Táiběi.","I live in Taipei."
包括,Include,"價格包括所有稅項。","Jiàgé bāokuò suǒyǒu shuìxiàng.","The price includes all taxes."
講,Talk,"他正在講電話。","Tā zhèngzài jiǎng diànhuà.","He is on the phone."
造成,Cause,"這個決策可能造成很大的影響。","Zhège juécè kěnéng zàochéng hěn dà de yǐngxiǎng.","This decision might cause a big impact."
常,Common/Often,"我常去那家咖啡店。","Wǒ cháng qù nà jiā kāfēi diàn.","I often go to that coffee shop."
即,Immediately,"他即刻回覆了。","Tā jíkè huífùle.","He replied immediately."
喜歡,Like,"我喜歡這首歌。","Wǒ xǐhuān zhè shǒu gē.","I like this song."
沒,Not/Have not,"我沒吃過這道菜。","Wǒ méi chīguò zhè dào cài.","I haven't eaten this dish."
出現,Appear,"她突然在派對上出現。","Tā túrán zài pàiduì shàng chūxiàn.","She suddenly appeared at the party."
政治,Politics,"他對政治很感興趣。","Tā duì zhèngzhì hěn gǎn xìngqù.","He is very interested in politics."
話,Talk/Speech,"他的話讓我感動。","Tā de huà ràng wǒ gǎndòng.","His words moved me."
走,Walk,"他走到門口。","Tā zǒu dào ménkǒu.","He walked to the door."
單位,Unit,"這是我工作的單位。","Zhè shì wǒ gōngzuò de dānwèi.","This is the unit I work for."
一直,Always,"他一直支持我。","Tā yīzhí zhīchí wǒ.","He has always supported me."
吧,Let's/Okay,"我們去吃飯吧！","Wǒmen qù chī fàn ba!","Let's go eat!"
是否,Whether,"請問您是否需要幫助？","Qǐng wèn nín shìfǒu xūyào bāngzhù?","May I ask if you need help?"
當然,Of course,"當然可以。","Dāngrán kěyǐ.","Of course, you can."
整,Entire/Whole,"他整天都在工作。","Tā zhěng tiān dū zài gōngzuò.","He works the whole day."
處理,Handle/Deal with,"我會處理這個問題。","Wǒ huì chǔlǐ zhège wèntí.","I will handle this issue."
歷史,History,"他喜歡讀歷史書籍。","Tā xǐhuān dú lìshǐ shūjí.","He likes to read history books."
了解,Understand,"我完全了解你的意思。","Wǒ wánquán liǎojiě nǐ de yìsi.","I completely understand what you mean."
怎麼,How,"你怎麼知道的？","Nǐ zěnme zhīdào de?","How did you know?"
機會,Opportunity,"這是一個很好的機會。","Zhè shì yīgè hěn hǎo de jīhuì.","This is a great opportunity."
聽,Listen,"你聽到那個聲音了嗎？","Nǐ tīng dào nàgè shēngyīn le ma?","Did you hear that sound?"
所有,All,"所有的學生都到齊了。","Suǒyǒu de xuéshēng dōu dào qí le.","All the students have arrived."
只要,As long as,"只要你努力，你就會成功。","Zhǐyào nǐ nǔlì, nǐ jiù huì chénggōng.","As long as you work hard, you will succeed."
朋友,Friend,"他是我的好朋友。","Tā shì wǒ de hǎo péngyǒu.","He is my good friend."
令,Make/Cause,"這令我很驚訝。","Zhè lìng wǒ hěn jīngyà.","This surprises me."
甚至,Even,"他甚至沒有告訴我。","Tā shènzhì méiyǒu gàosù wǒ.","He didn't even tell me."
真,Really,"這真的是個驚喜！","Zhè zhēn de shìgè jīngxǐ!","This is really a surprise!"
六,Six,"我有六本書。","Wǒ yǒu liù běn shū.","I have six books."
呀,Ah (exclamation),"你來了呀！","Nǐ láile ya!","You're here, ah!"
情況,Situation,"我了解情況了。","Wǒ liǎojiě qíngkuàngle.","I understand the situation."
還是,Or/Still,"你要咖啡還是茶？","Nǐ yào kāfēi háishì chá?","Do you want coffee or tea?"
錢,Money,"我沒有帶夠錢。","Wǒ méiyǒu dài gòu qián.","I didn't bring enough money."
方法,Method,"這是我喜歡的學習方法。","Zhè shì wǒ xǐhuān de xuéxí fāngfǎ.","This is my favorite learning method."
點,Point/Bit,"我有點累。","Wǒ yǒudiǎn lèi.","I am a bit tired."
任何,Any,"我都不擔心任何事。","Wǒ dū bù dānxīn rènhé shì.","I'm not worried about anything."
經驗,Experience,"這次旅行是一個難忘的經驗。","Zhè cì lǚxíng shì yīgè nánwàng de jīngyàn.","This trip was an unforgettable experience."
藝術,Art,"我對藝術非常感興趣。","Wǒ duì yìshù fēicháng gǎn xìngqù.","I'm very interested in art."
你們,You all,"你們都做得很好。","Nǐmen dōu zuò dé hěn hǎo.","You all did very well."
十,Ten,"我買了十顆蘋果。","Wǒ mǎile shí kē píngguǒ.","I bought ten apples."
主要,Main,"他是我們的主要客戶。","Tā shì wǒmen de zhǔyào kèhù.","He is our main client."
媽媽,Mother,"我媽媽做的飯很好吃。","Wǒ māmā zuò de fàn hěn hǎochī.","My mother's cooking is very delicious."
增加,Increase,"價格已經增加了。","Jiàgé yǐjīng zēngjiāle.","The price has already increased."
提出,Propose/Suggest,"他提出了一個好建議。","Tā tíchūle yīgè hǎo jiànyì.","He made a good suggestion."
為什麼,Why,"你為什麼這麼晚回家？","Nǐ wèishéme zhème wǎn huí jiā?","Why did you come home so late?"
您,You (polite),"您需要什麼幫助嗎？","Nín xūyào shénme bāngzhù ma?","Do you need any help?"
計畫,Plan,"我有一個旅行計畫。","Wǒ yǒu yīgè lǚxíng jìhuà.","I have a travel plan."
作,Do/Work,"他作了一首詩。","Tā zuòle yī shǒu shī.","He wrote a poem."
利用,Utilize/Use,"我們應該好好利用時間。","Wǒmen yīnggāi hǎohǎo lìyòng shíjiān.","We should make good use of time."
東西,Thing/Item,"你買了什麼東西？","Nǐ mǎile shénme dōngxī?","What did you buy?"
條,Measure word for long items,"我買了一條裙子。","Wǒ mǎile yī tiáo qúnzi.","I bought a skirt."
設計,Design,"她是一名設計師。","Tā shì yī míng shèjì shī.","She is a designer."
找,Find/Look for,"我在找我的眼鏡。","Wǒ zài zhǎo wǒ de yǎnjìng.","I am looking for my glasses."
之間,Between,"桌子和椅子之間有一個小空間。","Zhuōzi hé yǐzi zhījiān yǒu yīgè xiǎo kōngjiān.","There's a small space between the table and the chair."
成長,Grow up/Growth,"孩子們很快成長。","Háizimen hěn kuài chéngzhǎng.","Children grow up quickly."
